id,source,text,model_label,human_label,notes
llm_generated_0,llm_generated,"I'm trying to shave 15% off our Postgres query latency for a reporting endpoint, but EXPLAIN ANALYZE shows the planner picking a different join strategy depending on time of day even though the query and schema never change. I suspect autovacuum or statistics staleness but I can't prove causation. What's a rigorous way to tie planner decisions back to a root cause here?",[TIER_3_COMPLEX],,
llm_generated_1,llm_generated,"I have a bug where the future is not move-only and I copy it by accident, does that share the state?",[TIER_1_SIMPLE],,
llm_generated_2,llm_generated,"I keep getting a hang on join because the thread is waiting for a lock I hold, how do I release first?",[TIER_1_SIMPLE],,
llm_generated_3,llm_generated,"I think the thread local storage is cleared on thread exit, how do I keep a value across threads?",[TIER_1_SIMPLE],,
llm_generated_4,llm_generated,I think I'm calling join() on a thread twice by accident and it's throwing. What's the quick fix?,[TIER_1_SIMPLE],,
llm_generated_5,llm_generated,"I think my ReadWriteLock is causing writer starvation, so I want to refactor it to use a fair lock implementation.",[TIER_2_MEDIUM],,
llm_generated_6,llm_generated,I've spent all night chasing a situation where two threads keep releasing and reacquiring locks in a way that prevents progress.,[TIER_3_COMPLEX],,
llm_generated_7,llm_generated,I have a mutex and I forgot the method name to try locking it without blocking. What is it?,[TIER_1_SIMPLE],,
llm_generated_8,llm_generated,Let's tackle this issue: I want to convert a Java Runnable into a thread quickly. What is the one-liner?,[TIER_1_SIMPLE],,
llm_generated_9,llm_generated,I think the lock-free list is losing nodes on concurrent inserts and I want to rework the linking step.,[TIER_2_MEDIUM],,
llm_generated_10,llm_generated,"I'm trying to track causal dependencies across a geo-replicated database using vector clocks, but we keep hitting memory limits and are forced to prune old entries. This pruning seems to break the happens-before relationship, causing older updates to incorrectly overwrite newer ones after a partition heals. How can I bound the vector clock size while mathematically guaranteeing that no causal cycles are introduced during the garbage collection phase?",[TIER_3_COMPLEX],,
llm_generated_11,llm_generated,Let's tackle this issue of mismatched park and unpark leaving threads suspended and clean up the waiting pairs.,[TIER_2_MEDIUM],,
llm_generated_12,llm_generated,"This shared map is cleared while another thread is inserting, how do I lock both operations with the same mutex?",[TIER_1_SIMPLE],,
llm_generated_13,llm_generated,"We keep hitting a wall where our Svelte app's initial render is fast in dev but takes 3x longer in production builds on low-end devices, and Lighthouse gives contradictory numbers between runs. I need to figure out whether this is a hydration cost, a bundle-splitting issue, or something about how Svelte's compiled output behaves differently under real-world CPU throttling. What's the right methodology to isolate the actual bottleneck?",[TIER_3_COMPLEX],,
llm_generated_14,llm_generated,This semaphore is allowing the number of concurrent holders to exceed the maximum under concurrent release and acquire.,[TIER_3_COMPLEX],,
llm_generated_15,llm_generated,My Node.js code uses setTimeout with a zero delay to defer execution instead of using proper async primitives. I want this modernized.,[TIER_2_MEDIUM],,
llm_generated_16,llm_generated,I have a race between the shutdown check and task submission that accepts work after shutdown and I need to close the window.,[TIER_2_MEDIUM],,
llm_generated_17,llm_generated,I think the happens-before edge is missing between the write of the shared flag and the write of the associated data.,[TIER_3_COMPLEX],,
llm_generated_18,llm_generated,"I think the spin-wait is missing a yield, how do I insert a simple pause instruction?",[TIER_1_SIMPLE],,
llm_generated_19,llm_generated,I've spent hours on a livelock where two workers keep yielding and I need to add backoff so one of them can finish.,[TIER_2_MEDIUM],,
llm_generated_20,llm_generated,"This shared list iterator is invalidated by a concurrent erase, how do I protect the whole traversal?",[TIER_1_SIMPLE],,
llm_generated_21,llm_generated,I have a bug in the barrier reset that leaves some parties still waiting on the previous generation.,[TIER_3_COMPLEX],,
llm_generated_22,llm_generated,"I think the once-flag can be used from multiple translation units and still work, is that true?",[TIER_1_SIMPLE],,
llm_generated_23,llm_generated,I have a set of versioned symbols that are supposed to provide both the old and new entry points but after the last rebuild the .gnu.version_r section lists the wrong dependencies and clients linked against the previous soname fail to resolve the symbols at load time. The symbol table itself looks correct and the version script matches the documented names yet the runtime loader rejects the library only on certain distributions. I need to understand which part of the ELF versioning contract is being broken.,[TIER_3_COMPLEX],,
llm_generated_24,llm_generated,I think the happens-before edge is missing between a flag write and the associated data write and I want to restore the order.,[TIER_2_MEDIUM],,
llm_generated_25,llm_generated,Let's tackle this issue of a work-stealing queue that lets a task be stolen and then executed again by the original owner and make the take exclusive.,[TIER_2_MEDIUM],,
llm_generated_26,llm_generated,"I think the memory fence after unlock is not needed if the unlock itself has release semantics, is that correct?",[TIER_1_SIMPLE],,
llm_generated_27,llm_generated,I've spent all night chasing a livelock where two threads keep backing off and retrying without ever succeeding.,[TIER_3_COMPLEX],,
llm_generated_28,llm_generated,I think the actor mailbox is unbounded and I want to add back-pressure so producers slow down when the consumer lags.,[TIER_2_MEDIUM],,
llm_generated_29,llm_generated,Let's tackle this issue where the condition predicate is re-evaluated incorrectly after a spurious wakeup.,[TIER_3_COMPLEX],,
llm_generated_30,llm_generated,"I keep creating threads that ignore the cancellation request, do I need to check a flag periodically?",[TIER_1_SIMPLE],,
llm_generated_31,llm_generated,I've spent all night on two threads that keep releasing and re-acquiring the same lock without progress and I need to add backoff.,[TIER_2_MEDIUM],,
llm_generated_32,llm_generated,I've been stuck on a barrier that is never completed because one of the parties is blocked waiting for the barrier itself and I need to break the circular wait.,[TIER_2_MEDIUM],,
llm_generated_33,llm_generated,"Let's tackle this issue: this C++ code holds a lock while logging to disk, which is a blocking I/O operation under a hot lock. Let's move logging outside the critical section.",[TIER_2_MEDIUM],,
llm_generated_34,llm_generated,This lock-free ring buffer is overwriting unread data when the consumer is temporarily stalled.,[TIER_3_COMPLEX],,
llm_generated_35,llm_generated,I think the memory fence after the store is not strong enough and the subsequent load can still be reordered before it.,[TIER_3_COMPLEX],,
llm_generated_36,llm_generated,We keep hitting incorrect topological orderings on a DAG that contains vertices with identical in-degrees after several edges are removed and re-added. The Kahn-style queue processes nodes correctly by residual in-degree yet the final linear order sometimes places a predecessor after one of its successors. What non-obvious invariant relating residual in-degrees to the partial order is silently lost?,[TIER_3_COMPLEX],,
llm_generated_37,llm_generated,Let's tackle this issue: this Postgres function wraps a read-only query in a transaction with the default isolation level when a lighter read could suffice. Let's reconsider the transaction boundaries.,[TIER_2_MEDIUM],,
llm_generated_38,llm_generated,"I keep getting the wrong thread ID inside the started function, am I reading it before the thread runs?",[TIER_1_SIMPLE],,
