id,source,text,model_label,human_label,notes
commitpack_0,commitpack,"Include ""scale"" parameter in calculations",[TIER_1_SIMPLE],,
commitpack_1,commitpack,Fix timezone data path for Unix and win32.,[TIER_2_MEDIUM],,
commitpack_2,commitpack,Fix the Chrome Linux build by working around a compiler bug.,[TIER_3_COMPLEX],,
commitpack_3,commitpack,Fix weird includes in compat package,[TIER_2_MEDIUM],[TIER_1_SIMPLE],
commitpack_4,commitpack,Update init writing to universal init,[TIER_2_MEDIUM],[TIER_1_SIMPLE],
commitpack_5,commitpack,Use Foundation to resolve macros instead of UIKit,[TIER_1_SIMPLE],,
commitpack_6,commitpack,Fix TSan symbol lookup on Windows,[TIER_3_COMPLEX],[TIER_2_MEDIUM],
commitpack_7,commitpack,Create device enumerator and get default device for WASAPI,[TIER_1_SIMPLE],,
commitpack_8,commitpack,Write initial browser window file from IO thread.,[TIER_3_COMPLEX],[TIER_2_MEDIUM],
commitpack_9,commitpack,Make luna app boostable to reduce the start up time.,[TIER_3_COMPLEX],,
commitpack_10,commitpack,Fix compile error in TestCxxWCharT on Linux,[TIER_2_MEDIUM],[TIER_1_SIMPLE],
commitpack_11,commitpack,Bump the version number for development.,[TIER_1_SIMPLE],,
commitpack_12,commitpack,"Revert ""Name these protocol method variables better""",[TIER_1_SIMPLE],,
commitpack_13,commitpack,Make test 64 bit safe.,[TIER_2_MEDIUM],,
commitpack_14,commitpack,Return failure if the unexitable loop ever exits ;),[TIER_1_SIMPLE],,
commitpack_15,commitpack,Fix the *longjmp() behaviour - it is legal to reuse a jmp_buf several times. Gets us a working perl 5.8.,[TIER_3_COMPLEX],,
commitpack_16,commitpack,Add a weak pointer type for the server.,[TIER_3_COMPLEX],[TIER_2_MEDIUM],
commitpack_17,commitpack,Set up a client id and a client secret for production environment,[TIER_1_SIMPLE],,
commitpack_18,commitpack,Fix miner_test unit test bug,[TIER_2_MEDIUM],,
commitpack_19,commitpack,Change so that window_set_fullscreen() is called only on the Aplite platform,[TIER_1_SIMPLE],,
commitpack_20,commitpack,Add beginnings of DB layer.,[TIER_3_COMPLEX],[TIER_2_MEDIUM],
commitpack_21,commitpack,Define the INLINE_ASM_GCTXT() macro for aarch64. This was breaking the MEMLEAK source on arm.,[TIER_3_COMPLEX],,
commitpack_22,commitpack,Fix SecRandomCopyBytes call with older OS X SDKs,[TIER_2_MEDIUM],,
commitpack_23,commitpack,Prepare NVidia gridder's Halide veneer to be used as drop-in replacement for the true Halide kernels.,[TIER_3_COMPLEX],,
commitpack_24,commitpack,Fix altitude not being reported in metres to PFD,[TIER_2_MEDIUM],,
commitpack_25,commitpack,Change naming scheme for files,[TIER_2_MEDIUM],,
commitpack_26,commitpack,Support using KURLRequester with remote files,[TIER_2_MEDIUM],,
commitpack_27,commitpack,Remove seL4_Yield() since it's removed from the RT kernel.,[TIER_2_MEDIUM],,
commitpack_28,commitpack,Modify the trigger condition of PIR,[TIER_1_SIMPLE],,
commitpack_29,commitpack,Test host_system_tag rather than cpp::tag,[TIER_1_SIMPLE],,
commitpack_30,commitpack,Make things based on Asio `service_io` inherit from same base,[TIER_3_COMPLEX],[TIER_2_MEDIUM],
commitpack_31,commitpack,Add example for working threads and events,[TIER_3_COMPLEX],[TIER_2_MEDIUM],
commitpack_32,commitpack,Write quaternion components instead of Euler angles,[TIER_3_COMPLEX],,
commitpack_33,commitpack,Put fast legality checks first,[TIER_1_SIMPLE],,
commitpack_34,commitpack,Use integers instead of floats in for-loop,[TIER_1_SIMPLE],,
commitpack_35,commitpack,Fix gl error debug print.,[TIER_2_MEDIUM],,
commitpack_36,commitpack,Add missing field for breakpoints,[TIER_1_SIMPLE],,
commitpack_37,commitpack,Fix warnings map to be thread-local,[TIER_3_COMPLEX],,
commitpack_38,commitpack,Fix leak in calloc failure path.,[TIER_2_MEDIUM],,
