id,source,text,model_label,human_label,notes
swebench_0,swebench,"This checker errors on exp(second/(ohm*farad)) reporting Dimension(time/(capacitance*impedance)) instead of recognizing the argument as dimensionless. Need help fixing the recursive walk over an expression tree using interfaces and type switches so composite units cancel before the dimensionless check, returning an error value instead of blowing up.",[TIER_2_MEDIUM],,
swebench_1,swebench,"How do I keep signed session payloads decodable across replicas during a rolling upgrade that changes the default hashing algorithm, falling back to the legacy encode path via decorators and dataclasses when the old digest is still configured?",ERROR,[TIER_2_MEDIUM],
swebench_2,swebench,My generated Javadoc signatures expand hex int constants like 0xFFFFFFFF into decimal 4294967295 instead of preserving the source literal. Need help keeping the original representation for default parameter values in the rendered API docs.,[TIER_1_SIMPLE],,
swebench_3,swebench,Explain how to keep generated Javadoc signatures showing simple type names like MyClass for method parameters instead of expanding to fully qualified com.example.pkg.MyClass when the option to omit package prefixes only applies to declaration headers.,[TIER_1_SIMPLE],,
swebench_4,swebench,"How should I design a container of dataclasses with decorator-driven validation so that calling is_valid returns False when control metadata is missing or tampered with instead of raising, keeping it consistent with single-object validation and safe to call from asyncio tasks without try-except around every check?",ERROR,[TIER_1_SIMPLE],
swebench_5,swebench,"When scanning a mapping of submitted inputs for keys shaped like prefix-index-field to decide what to delete, how should I escape an unrestricted user-supplied prefix so regex metacharacters can't cause silent misses and data loss, and what's the idiomatic way to handle this when working with dataclasses?",ERROR,[TIER_2_MEDIUM],
swebench_6,swebench,"Design pattern for keeping a randomized truncated SVD fast when callers pass sparse inputs as dictionary-keyed Records or row arrays of Maps instead of compact CSR-style Float64Array buffers, including whether to auto-normalize interfaces via generics or warn on slow paths",[TIER_3_COMPLEX],,
swebench_7,swebench,How do I design dataclasses with multi-table-style inheritance so a subclass holding multiple one-to-one references to its base reliably resolves which field is the parent link via an explicit decorator marker instead of depending on field declaration order?,ERROR,[TIER_1_SIMPLE],
swebench_8,swebench,Why does my generic where helper that merges optional metadata from a tuple of inputs throw an index error when the fallback value is a primitive instead of an object with props?,[TIER_2_MEDIUM],,
swebench_9,swebench,"Looking for a clean way to register a short alias for a picocli @Option so a skip flag supports both --stepwise-skip and --sw-skip, matching an existing --sw shorthand already defined on another flag.",[TIER_1_SIMPLE],,
swebench_10,swebench,My generated API docs truncate the extends clause to just the mocked namespace when a class inherits from a stubbed node module dependency. Need help preserving full base type names like the qualified import path using declaration merging or moduleNameMapper shims without pulling the real heavy dependency into the doc build.,[TIER_2_MEDIUM],,
swebench_11,swebench,"Explain how to consolidate scattered extern globals behind a single registry object supporting both operator[] lookup and named property access, where each flag can be temporarily overridden with an RAII guard that restores the old value on scope exit.",ERROR,[TIER_1_SIMPLE],
swebench_12,swebench,How can I fix a chainable query builder built with dataclasses and method decorators so ordering an intermediate UNION result doesn't leave its select projection empty and crash when it's later composed into another UNION for an aggregate count?,[TIER_2_MEDIUM],,
swebench_13,swebench,"How can we optimize `count()` queries to exclude unused annotations, similar to how `select_related()` is ignored?",[TIER_3_COMPLEX],,
swebench_14,swebench,Printer extension for an AST visitor that needs custom handling for derivative nodes and float64 scientific notation with exponent syntax and comma-joined args via fmt.Stringer and struct methods,[TIER_2_MEDIUM],,
swebench_15,swebench,How do I write a decorator for asyncio request handlers that sets Cache-Control to include private alongside no-store so shared CDN edge caches won't store sensitive responses?,ERROR,[TIER_1_SIMPLE],
swebench_16,swebench,This code blows up deep inside the heap with a cryptic cast error when I pass a double like 3.0 for the neighbor count instead of a std::size_t. Looking for a clean way to validate both the constructor and the query method arguments up front with exceptions and give a helpful message.,[TIER_1_SIMPLE],,
swebench_17,swebench,How can I make my ordered set wrapper built around a dict with a dataclass support the reversed builtin so it yields items in reverse insertion order efficiently without materializing a temporary list?,[TIER_1_SIMPLE],,
swebench_18,swebench,How can I build a custom path converter with dataclasses and a decorator-based router so that raising a not-found error inside the conversion step short-circuits matching and still renders the detailed debug page instead of a generic 500 or silently trying the next route?,[TIER_3_COMPLEX],,
swebench_19,swebench,"My struct's Merge method panics trying to range over a map when I pass a single named value directly, while the package-level Merge function taking a slice of any handles the same struct and named value together just fine. Need help making the method coerce a lone value into a slice and share the same join and conflict resolution logic as the top-level function using generics and interfaces.",[TIER_2_MEDIUM],,
swebench_20,swebench,"Can we modify the `BaseConstraint` class to accept `cleanup` and `violation_error_message` as keyword-only arguments, effectively separating them from the regular positional arguments?",[TIER_1_SIMPLE],,
swebench_21,swebench,Why does my quantile helper over a float64 slice return a percentile validation error mentioning 0 to 100 instead of 0 to 1 when it wraps an internal stats routine?,[TIER_1_SIMPLE],,
swebench_22,swebench,"Explain how to auto-register signature element subclasses via __init_subclass__ with a private flag while letting a custom visitor either dispatch to the most specific visit_ method, provide a generic visit_desc_sig_element fallback, or degrade to inline nodes that preserve the original class name in attrs for later transforms.",[TIER_1_SIMPLE],,
swebench_23,swebench,"My visitor's visit_* trait methods get skipped by the walker unless an enabled diagnostic from their attribute list matches, but the helper attribute is misused on non-callbacks, with glob imports, or with incomplete sets causing silent false negatives. Looking for a canonical pattern for gating callbacks for performance with Option and Vec-based registration plus a dev-time lint that checks the declared set against what the callback and its callees can actually emit.",[TIER_3_COMPLEX],,
swebench_24,swebench,How can I make my autogenerated migration planner using dataclasses and decorators ensure the implicit ordering column from order-with-respect-to is added before emitting any composite index that references it?,[TIER_3_COMPLEX],,
swebench_25,swebench,"How should I extend my get_itrs helper on a dataclass holding an Earth location with an optional location argument using a property decorator so it returns topocentric Cartesian offsets relative to another site instead of always geocentric, defaulting to None or to the Earth center?",ERROR,[TIER_2_MEDIUM],
swebench_26,swebench,"My parallelStream pairwise distance matrix comes back as all zeros using an ExecutorService with multiple threads for cosine distance, while the single-threaded CompletableFuture path returns correct doubles, and my Euclidean version looks truncated to ints. Need help with safely sharing and writing to a double[][] result from worker Callables backed by a ForkJoinPool without race conditions or integer-array coercion.",[TIER_3_COMPLEX],,
swebench_27,swebench,"Design pattern for transpose taking a parameter pack of axis names plus an ellipsis placeholder for remaining axes when both the tensor wrapper and the underlying std::mdspan storage expand it, causing double expansion and spurious errors about non-permuted dimensions.",[TIER_3_COMPLEX],,
swebench_28,swebench,Explain how to isolate a convergence regression in an automatic relevance determination solver built on Eigen::MatrixXd and std::vector<double> where std::mt19937 fixtures that once fit in ~5 iterations with 1e-5 error now need 50-200 iterations with 1e-2 error after a minor update to the underlying Cholesky routines.,[TIER_1_SIMPLE],,
swebench_29,swebench,"How do I write a response decorator that merges new field names into an existing Vary header while respecting the spec, so if either the current value or the incoming names contain a lone asterisk it normalizes to just asterisk instead of producing a redundant list?",ERROR,[TIER_2_MEDIUM],
swebench_30,swebench,Design pattern for computing grid percentiles and averaged predictions over `Option<f64>` slices while skipping `None` and `NaN` via iterator adapters without biasing trait-based estimators,[TIER_3_COMPLEX],,
swebench_31,swebench,How can I implement NumPy array function dispatch for a custom Time class in Python so that functions like linspace and other array operations work seamlessly on time objects?,[TIER_2_MEDIUM],,
swebench_32,swebench,Explain how to keep a custom numeric type's __divmod__ consistent with the builtin divmod so the remainder takes the divisor's sign while preserving the div*y + mod == x invariant.,[TIER_1_SIMPLE],,
swebench_33,swebench,"My error logging macros silently ignore mismatched format placeholders and extra arguments, so cargo test stays green even when the formatting is broken. Need help turning those formatting failures into a compile-time warning or a test panic using Result handling and the format_args machinery.",[TIER_2_MEDIUM],,
swebench_34,swebench,"My text/template pipeline emits broken math when it wraps a payload that already contains a begin equation block inside double dollars, causing a bad delimiter panic downstream. Need help switching the wrapper to a single dollar with displaystyle via gofmt-clean templates while keeping the goroutine workers and channel handoff race-free.",[TIER_3_COMPLEX],,
swebench_35,swebench,"How do I make a backfill idempotent with decorators and dataclasses so that when a concrete model is later reintroduced as a proxy sharing the same table it doesn't violate the unique constraint on content-type plus codename, and how should I safely deduplicate existing rows without losing grants given the GIL?",ERROR,[TIER_2_MEDIUM],
swebench_36,swebench,"How can I harden my asyncio middleware's origin verification helper so a host lookup that raises on an untrusted Host header is treated as a failed check instead of propagating, consistent with the main request handler?",ERROR,[TIER_2_MEDIUM],
swebench_37,swebench,"My Matrix class currently reuses the scalar-friendly multiply implementation for its dedicated matrix-product overload, so passing a plain number still type-checks and returns a scaled result instead of failing. Need overload signatures with number versus Matrix interfaces plus a runtime narrowing guard so scalar operands are rejected with a clear error and only true two-dimensional products are allowed.",[TIER_2_MEDIUM],,
swebench_38,swebench,"Can we add a randomization layer to the gzip compression process to prevent BREACH attacks without relying on token masking or data injection, and make it a sensible default for Django?",[TIER_3_COMPLEX],,
swebench_39,swebench,How can I structure a session store using dataclasses and overridable properties so the cookie max-age varies per session without having to duplicate the expiry calculation logic in every subclass?,[TIER_2_MEDIUM],,
